time_sec	flux	flux_err
0.961000004609426	1.29280478073915e-08	2.4244402575308703e-09
2.88100000391404	8.30796138883411e-09	1.87116181125803e-09
4.80100000321865	8.34113733020193e-09	1.4355123605164402e-09
138.543	9.99735413139185e-11	2.3201572261234198e-11
165.501	1.1974024211188901e-10	2.6268488285292596e-11
199.092	7.650223873391439e-11	1.7250209310181097e-11
254.746	3.9793281925640295e-11	8.94777128893279e-12
343.527	3.81937022117887e-11	8.41246042127891e-12
667.176	3.0898395852248e-11	6.93801023891973e-12
818.021	1.13556247359687e-11	2.61922104148073e-12
1003.683	9.00218510515449e-12	1.88877554835333e-12
4572.768	3.61910923598757e-12	9.29882552381417e-13
4776.538	3.93134513599584e-12	1.0293816150538999e-12
5045.093	3.48351262753178e-12	7.80652746367075e-13
6413.51	2.32039983629369e-12	4.68791061742202e-13
10201.364	3.46075486246354e-12	9.10245039936924e-13
10448.1	3.72651894220821e-12	9.7494649213956e-13
10688.451	3.08539762006358e-12	8.13688807137526e-13
10919.676	3.99246102361891e-12	1.04452327854985e-12
11148.861	2.99689274871473e-12	7.85447694756111e-13
11571.408	2.1803823202524698e-12	4.86720975437917e-13
21655.091	7.344376010186889e-12	1.6992274965673699e-12
21924.959	6.64403693016004e-12	1.20206688724086e-12
27415.023	3.87009839745539e-12	1.0231974897393e-12
27700.517	4.49970022287885e-12	8.10835869529628e-13
28342.953	4.742775636562949e-12	1.1005802460387099e-12
33757.613	3.1096649016762996e-12	8.18994920940329e-13
34061.749	2.5080553438397698e-12	6.61150135908789e-13
44831.754	1.9496977649784e-12	3.89223952353538e-13
50299.666	2.25805632635456e-12	5.92319058385553e-13
50859.047	2.20182692476257e-12	4.3084876373862397e-13
57610.47	1.10816477975168e-12	2.96499258550327e-13
62142.582	1.5660062010312799e-12	3.24088287593347e-13
72155.885	1.06192954359023e-12	1.81842676097776e-13
113471.884	2.59841950290222e-13	8.420157099345171e-14
145903.503	2.1119500962411099e-13	6.08067997891255e-14
217763.441	1.76059904179836e-13	4.7199213801417905e-14
326166.742	3.9483807659128e-14	2.07258841275127e-14
