time_sec	flux	flux_err
30182.199	2.1842677847315898e-11	4.81435396622376e-12
30293.849	1.77154313000011e-11	4.01157109739218e-12
30388.636	2.62137035939246e-11	5.8861559868740995e-12
30475.887	2.26869300557731e-11	5.09958558466311e-12
30586.577	1.7066253970710098e-11	3.85234497613289e-12
30725.077	1.5146502700980698e-11	3.35191693478287e-12
30859.375	1.0887487324597898e-11	2.46032805900628e-12
30955.63	1.6748006800951897e-11	3.59511454585838e-12
31057.458	1.83236011579723e-11	4.13616416417726e-12
31149.975	1.8121273625516e-11	4.08188552458758e-12
31270.825	1.54710944821244e-11	3.49227146227101e-12
31396.777	1.40666522468426e-11	3.02777045702594e-12
31525.072	1.83516622270464e-11	4.1121473167422895e-12
31604.92	2.29098873627187e-11	5.024340168742899e-12
31764.647	1.22393056833289e-11	2.16775974152787e-12
35405.154	1.2324016514733099e-11	2.7753915855165898e-12
35474.483	1.7131016247765197e-11	3.844226660432699e-12
35550.326	1.29905345637114e-11	2.91164634828145e-12
35639.764	1.37315929305782e-11	2.95293757196571e-12
35726.128	1.9013268372908498e-11	4.1677785557567495e-12
35806.317	9.39222533482124e-12	2.11514732289651e-12
35967.037	9.42847453591094e-12	2.02296965393082e-12
36150.575	1.8712697547506697e-11	4.22832307270439e-12
36290.961	9.96604630945458e-12	2.26517055332182e-12
36465.662	1.3571830952874899e-11	2.97822672173128e-12
36559.148	1.2857344833082e-11	2.9023991830878e-12
36634.492	1.65003572999412e-11	3.724767579018399e-12
36718.231	1.2945908632620001e-11	2.91198189032769e-12
36819.195	1.4153153264295898e-11	3.10242419638294e-12
36919.189	1.1161058541570001e-11	2.5164833005722697e-12
37022.68	1.0755158441756299e-11	2.26351703877496e-12
41031.718	1.2506753930330198e-11	2.7533401746360597e-12
41138.196	1.0296537332602e-11	2.3210746326058e-12
41252.532	1.0776856901982e-11	2.44637742289288e-12
41362.599	1.0688582607784698e-11	2.3955542366262e-12
41469.66	1.4703102965681898e-11	3.2297211778536798e-12
41546.017	1.3136597243769898e-11	2.9510182494114597e-12
41652.695	1.1343013200826799e-11	2.55994414589256e-12
41772.662	7.63790855441903e-12	1.7217588790595899e-12
41892.02	9.732898715023879e-12	2.20681759142174e-12
42001.086	8.37353664303747e-12	1.8985992572354898e-12
42135.593	8.908441686459249e-12	2.01499057568535e-12
42269.128	1.80291592584978e-11	4.05928478627234e-12
42411.445	1.3690689788417498e-11	2.20005634427311e-12
111179.524	2.42379616181314e-12	6.34877977888906e-13
111488.26	5.4728067012656595e-12	1.2336565858719299e-12
112005.139	2.97625949677058e-12	6.30354123508787e-13
116937.284	2.61348242213571e-12	6.83252906227417e-13
117262.091	3.6347709074723498e-12	9.46930162061229e-13
117657.655	2.11481191756299e-12	5.06402876861057e-13
122701.058	1.84081569404573e-12	3.98511626787808e-13
215844.423	9.08026083434716e-13	2.51035886447089e-13
250007.017	8.1954834479944e-13	1.62129228448739e-13
562316.751	4.74182194153107e-13	7.27034318716796e-14
739769.611	2.29994603060869e-13	5.14796978446181e-14
935660.856	2.06821817750225e-13	4.8997455452787205e-14
1282265.148	8.135519382959451e-14	2.45180564996419e-14
