time_sec	flux	flux_err
35.8409999990652	8.85602149470116e-08	1.68482953902253e-08
46.0809999992887	1.91558126875424e-07	4.44048715616013e-08
56.3209999990466	4.19917129192776e-07	8.10440906529688e-08
180.52	2.36822005875561e-10	4.714673105800019e-11
186.85	2.49795712562389e-10	4.972962448569075e-11
209.842	8.004261068671729e-11	1.7932284761737598e-11
238.492	6.14989927144239e-11	1.3751589502375399e-11
285.039	4.4605836082889e-11	9.98369059937035e-12
352.548	3.10346311246595e-11	6.97281719415059e-12
484.333	1.47759701176666e-11	3.33583046639848e-12
645.725	1.9562981209221797e-11	4.41270867523803e-12
779.093	1.26535659124778e-11	2.5426368213598798e-12
4376.561	3.8048096802718895e-12	9.96267027287406e-13
4743.604	5.77845231181423e-12	1.30207209277936e-12
5048.498	4.23595435354195e-12	1.00620636928258e-12
60343.161	8.39098630654395e-13	1.97362298897568e-13
68251.186	9.71872633877834e-13	2.10076232247967e-13
86418.858	1.1802806989660399e-12	3.1086550594455497e-13
476687.342	1.62296486918417e-13	4.40155176558018e-14
788024.299	4.2011323327316405e-14	1.4892055238889e-14
