time_sec	flux	flux_err
0.0809999597072601	3.28750388000276e-08	6.4590203657281e-09
0.240999985933304	1.6511697218697e-08	3.7425275172465106e-09
0.360999960899353	5.70587956748653e-08	1.0556373336651e-08
0.440999944210053	6.28539199122372e-08	2.28969611658133e-08
0.520999927520752	2.31966659042639e-07	4.2043930789368e-08
0.660999960899353	1.76413607522842e-08	3.18672976116621e-09
106.488	4.3724297981159893e-11	9.550179948710339e-12
158.896	2.97204392857027e-11	6.65209672232056e-12
211.996	4.8508348420371396e-11	1.0857248975036399e-11
268.042	2.29603571928398e-11	5.16392220172483e-12
349.267	1.79888753079872e-11	4.04580654984494e-12
470.08	1.35352915932701e-11	3.06195547493302e-12
641.117	1.2699279672239799e-11	2.8756331645312698e-12
809.236	1.15652097307337e-11	2.6113759407322997e-12
968.234	1.1410639345219699e-11	2.5666706263078598e-12
1093.815	8.84228687222984e-12	2.0028485939423e-12
1266.064	1.11184478182233e-11	2.05970479630102e-12
4860.68	2.1312028925360098e-12	5.58006963568158e-13
11278.767	8.38496374167791e-13	1.62157109454381e-13
17052.158	5.80749585108306e-13	1.50292750600181e-13
33823.927	2.97745326396461e-13	8.07627963592337e-14
126753.519	3.3233881580302e-14	1.7891858305306052e-14
