time_sec	flux	flux_err
0.321000021398067	1.8469367297435e-08	3.45808198461684e-09
0.961000014543533	1.01677367017378e-08	1.9995545835529603e-09
118.242	2.7488437108105697e-11	6.20183911630369e-12
198.729	1.9803167924446498e-11	4.46791827496167e-12
300.431	1.9396660730955897e-11	4.3674806819262594e-12
436.908	1.20721350091495e-11	2.70476505297918e-12
576.85	7.280595990936399e-12	1.6379170442267198e-12
726.768	1.10509701437125e-11	2.4760747418807e-12
840.936	9.975439835452389e-12	2.23962538068176e-12
964.436	6.50796915236621e-12	1.4581722655149899e-12
1147.564	3.6775603402661095e-12	9.5597912727288e-13
1432.637	2.80842987108267e-12	6.22428637128757e-13
7581.195	7.76669177098848e-13	1.34733750756999e-13
55350.09	6.23942137682427e-14	1.77933774254147e-14
