time_sec	flux	flux_err
11980.335	4.32957530797066e-12	9.913568474999879e-13
17676.55	3.69157669465643e-12	9.63715078695751e-13
18005.134	4.5339740847610005e-12	7.86552295667632e-13
23427.223	3.46946863641423e-12	9.09402960411693e-13
23724.856	3.79742904416179e-12	8.60707318092828e-13
29075.485	3.5073120469708996e-12	9.1452663874498e-13
29293.606	2.9978216142149497e-12	7.94224327324001e-13
29586.391	2.2559335177538398e-12	5.93505487031996e-13
29984.98	2.26582103498631e-12	6.00895377180269e-13
30332.268	3.37750467645171e-12	6.89248880681781e-13
34920.918	2.28627092178342e-12	5.97396428405106e-13
35353.067	2.3184263715055397e-12	6.06144614573385e-13
35725.705	1.91379442672657e-12	5.03232169487514e-13
36291.033	2.3179360965107998e-12	4.89451362042144e-13
49120.786	1.96268966095247e-12	5.138579231100519e-13
52340.661	1.3871107637863098e-12	3.65680951607497e-13
52842.038	1.7441864325549598e-12	3.88331769920382e-13
59531.541	1.0479864417437999e-12	2.27034386010981e-13
64536.86	1.10755751915182e-12	2.93878769378006e-13
66536.371	1.23917038037783e-12	2.67715692912282e-13
216022.486	1.33370267178858e-13	3.4065719908815304e-14
