time_sec	flux	flux_err
0.721000034809113	3.66983090360976e-08	6.537988172952191e-09
1.00100004196167	2.04013131193617e-08	4.24896434449559e-09
1.40100004196167	2.85609733085688e-08	4.3550938041043206e-09
2.00100004792213	1.1202368740581e-08	1.7648319816304701e-09
2.60100003004074	6.516606893641611e-09	1.21066617497746e-09
3.00100004196167	4.943562846344311e-09	1.3600148308275702e-09
3.40100004196167	1.82217593843132e-08	3.10516210147076e-09
3.80100004196167	3.00131279736284e-08	7.097660235278141e-09
4.2010000538826	6.66225181298366e-08	1.30735138232523e-08
4.88100004116694	4.55456602292283e-08	8.57286408043471e-09
7.36100004196166	2.90820106319208e-08	4.8987704784926905e-09
66.0668620154382	1.17532540376162e-09	1.763320942096405e-10
70.9948101055153	8.891170376805771e-10	9.532350581022495e-11
83.194	6.74385506939884e-10	1.15656249353789e-10
87.561	4.84330359601702e-10	8.842627291808129e-11
91.898	4.76928603728794e-10	9.259451365373679e-11
96.923	3.52845536098547e-10	6.442053155115096e-11
101.848	5.68882717558092e-10	1.10447167969395e-10
106.721	2.6077434903478503e-10	4.9086158539102047e-11
112.827	2.92917648763319e-10	6.05834498119503e-11
119.159	2.53761148398187e-10	4.633026028100585e-11
126.455	2.15582465902474e-10	4.057958144698135e-11
146.956	2.38776720286515e-10	5.1048479246044397e-11
166.474	1.97178509738703e-10	4.4157587902143e-11
187.287	1.88521208908063e-10	4.0360199535697495e-11
207.358	1.92155454362231e-10	4.3563243798238694e-11
234.418	1.15839627647446e-10	2.59025280449508e-11
272.04	9.653367444439179e-11	2.0609537562688198e-11
318.007	8.315555574568559e-11	1.84125930162244e-11
351.273	1.40281427278547e-10	3.1559794672645395e-11
380.796	1.26809089292731e-10	2.36470320445191e-11
3792.218	1.1884122321841199e-11	2.66643024815992e-12
3885.594	9.87935845078306e-12	2.22420448174956e-12
3988.285	1.18169973170895e-11	2.6543853325686898e-12
4107.857	1.0025687112517299e-11	2.2571489570394497e-12
4196.664	1.2478903678247598e-11	2.80625835460793e-12
4282.055	1.56019742210516e-11	3.50857463535876e-12
4418.728	7.0052130224546396e-12	1.58981686380243e-12
4540.555	1.0967315973370299e-11	2.4663323348597697e-12
4658.014	7.252757580327339e-12	1.64410708595152e-12
4825.479	7.5843450935711e-12	1.6694445215447299e-12
5036.391	7.59611328261364e-12	1.31853250510623e-12
9563.548	3.19983629648501e-12	6.783918509018469e-13
16547.567	1.64410147035941e-12	4.3116939301964897e-13
18417.664	1.5073365139493e-12	3.14095218680067e-13
27832.074	3.6799289976297995e-12	9.57627038773207e-13
28402.189	1.40306188078636e-12	2.98085324142518e-13
35848.951	8.51304303544986e-13	2.13029827618351e-13
84692.689	6.07512051680594e-13	1.16735584685409e-13
124472.434	3.96309925995612e-13	7.322101087235181e-14
212824.123	2.21106397837179e-13	5.65841566206547e-14
324233.066	1.2707656106446999e-13	3.0166616707625e-14
625545.162	6.319887458962361e-14	2.5864737718997448e-14
66.0668620154382	1.17532540376162e-09	1.763320942096405e-10
70.9948101055153	8.891170376805771e-10	9.532350581022495e-11
83.194	6.74385506939884e-10	1.15656249353789e-10
87.561	4.84330359601702e-10	8.842627291808129e-11
91.898	4.76928603728794e-10	9.259451365373679e-11
96.923	3.52845536098547e-10	6.442053155115096e-11
101.848	5.68882717558092e-10	1.10447167969395e-10
106.721	2.6077434903478503e-10	4.9086158539102047e-11
112.827	2.92917648763319e-10	6.05834498119503e-11
119.159	2.53761148398187e-10	4.633026028100585e-11
126.455	2.15582465902474e-10	4.057958144698135e-11
