time_sec	flux	flux_err
1.44099998891354	4.07654224954771e-07	6.92598194646213e-08
2.00099998235703	2.36543089331607e-06	4.46795682282736e-07
122.038	1.07382561772057e-10	2.4143909286975897e-11
149.392	9.8888916530779e-11	2.2234194378214497e-11
178.442	8.797211836617001e-11	1.97796584330343e-11
203.467	1.43517130866839e-10	2.99611141574338e-11
223.429	1.47639183767252e-10	3.0240395789617e-11
246.723	1.02118527272442e-10	2.17989126122925e-11
270.591	1.29083822294956e-10	2.81683942800617e-11
294.073	8.287425791369029e-11	1.8633460626238798e-11
321.212	1.26037928825204e-10	2.69722609096435e-11
341.804	1.29130753837651e-10	2.8993801086744e-11
369.02	8.836070183706969e-11	1.8885652691361097e-11
396.68	1.0295777090484201e-10	2.31809987825838e-11
422.783	1.1626761322348001e-10	2.60697353274625e-11
445.594	1.20664981851715e-10	2.5725859868269002e-11
480.613	7.756448831255409e-11	1.55641205645586e-11
507.427	1.16159856433241e-10	2.6117389503941397e-11
526.217	1.8722930197698701e-10	3.9086612262866095e-11
559.234	4.79477536273673e-11	1.0780579246738498e-11
596.173	9.232222237804319e-11	2.0729159149966897e-11
637.446	6.247076877547329e-11	1.34023487556053e-11
665.668	1.07472056114546e-10	2.2999141983202298e-11
698.048	7.812055573679889e-11	1.70472954767069e-11
728.43	7.47398280324109e-11	1.67582898606975e-11
762.009	7.13048387786589e-11	1.5966148785966497e-11
796.807	9.179960568596919e-11	2.0137517588877002e-11
826.839	8.71659705941994e-11	1.9544516559723498e-11
859.33	7.656797466040789e-11	1.6774224417860002e-11
900.163	5.5060026655409195e-11	1.2062346948187698e-11
948.78	6.051328269566369e-11	1.3568391301979e-11
991.699	6.73360143088394e-11	1.4391968850993698e-11
1029.57	7.4778193818275e-11	1.6766907639477698e-11
1076.342	4.6900085814636003e-11	1.0288186245834398e-11
1126.87	5.0739168484975795e-11	1.11596416815069e-11
1174.901	5.953527737708989e-11	1.30256919853546e-11
1216.355	6.086438580247701e-11	1.37036533742191e-11
1267.916	3.83878276457907e-11	8.666967994716489e-12
1333.53	4.2395303806448894e-11	9.571757120576299e-12
1385.479	6.34061658544461e-11	1.4236619005632199e-11
1441.161	4.30126379714257e-11	9.22784319648455e-12
1494.209	4.2461582981253196e-11	9.507736236447589e-12
1561.485	4.4740450195784197e-11	9.78873767795118e-12
1613.683	4.5639345357270196e-11	9.76686920455887e-12
1676.476	4.73544742219109e-11	1.0401515458109099e-11
1747.527	2.8867403248838798e-11	6.4816132826254894e-12
5856.979	4.78920329229239e-12	1.2616051386760098e-12
6302.178	4.87172368523442e-12	1.23711289730825e-12
6749.149	5.37044645252789e-12	1.02858923069301e-12
12627.512	3.0458223871782197e-12	6.19220888382896e-13
26246.581	9.84362167512554e-13	2.17131203279503e-13
89710.034	1.28287619811802e-13	3.8209892135897954e-14
