time_sec	flux	flux_err
1.08100000054748	1.18256696873175e-09	1.87966032567735e-10
2.70099999869311	1.48289199211941e-09	2.6562591678108503e-10
3.78100000187203	1.36724057840672e-09	2.66791849453515e-10
4.88099999717303	1.2991210207885e-09	2.62011796800467e-10
5.5209999871254	3.89462035009715e-09	7.194149507465201e-10
6.18099999690878	9.46380601180415e-10	2.59267549278532e-10
7.34100000052617	1.59876393409022e-09	2.64355229968747e-10
8.52099999904633	1.47033202263307e-09	2.56450187233785e-10
9.34100000164725	2.1785147330890203e-09	4.3417534917118603e-10
10.3409999983127	1.6497084128419e-09	2.40525442741966e-10
11.4409999963641	2.13044731663329e-09	3.68088317596659e-10
11.9810000090166	2.28046679105501e-09	4.3677465105308603e-10
12.500999994278	1.5839741530629902e-09	3.85536962985731e-10
13.0010000061989	2.32278058101526e-09	4.64521218732225e-10
14.1609999976555	1.29989703788317e-09	2.10736321926423e-10
15.3610000006358	3.99783286609633e-09	7.866775361956e-10
16.1209999972123	4.24298924253256e-09	9.13084591452288e-10
17.1610000003301	9.15894066724397e-09	1.8166848236153502e-09
18.8409999984708	2.32274384144777e-08	3.89456085640089e-09
22.3609999992888	1.72155698006952e-08	2.94981310750818e-09
192.472957546124	1.87489850072599e-09	2.795032463797925e-10
193.622423662522	2.0485677536245e-09	3.05382931723145e-10
194.683023958478	2.13165638146889e-09	3.17769007926372e-10
195.924705934673	1.5422280325658901e-09	2.29902065329913e-10
197.634279724764	1.13477907671994e-09	1.69163047036309e-10
199.198371753676	2.00857244500074e-09	2.785391710875365e-10
207.921	1.5987640816583802e-09	2.437608450075155e-10
209.692	1.28639343138714e-09	1.91764387255766e-10
211.532	1.5288396985579202e-09	2.330996263924995e-10
213.141	1.5138025940913102e-09	2.4159798708077954e-10
214.923	1.09183750154361e-09	1.66470590997249e-10
216.914	1.3845516968646201e-09	2.06396984646467e-10
219.193	8.80401886477696e-10	1.37320560872681e-10
221.707	1.0274777370658401e-09	1.53167490312535e-10
224.008	1.0159376109703102e-09	1.51447191594055e-10
226.303	1.04561527012793e-09	1.59423189521514e-10
228.391	9.7276819371222e-10	1.450118923423205e-10
230.982	9.11454666672326e-10	1.4887720420968901e-10
233.341	7.8532229368715e-10	1.31315183447986e-10
236.392	6.753241597573851e-10	1.07779581333627e-10
238.924	8.09954669434393e-10	1.26332594636482e-10
241.619	7.09081485538026e-10	1.1316715460157551e-10
244.702	6.34778256435465e-10	9.462722436607164e-11
247.918	5.68139412377501e-10	1.07241308009994e-10
251.13	6.76979878657839e-10	1.08043811735214e-10
254.141	6.26349170673406e-10	1.0230804793105151e-10
257.562	4.58436930023164e-10	8.441164581668149e-11
261.265	7.26280891661257e-10	1.15912095940702e-10
264.209	4.21124648577183e-10	9.825646146386359e-11
267.568	5.92261884917792e-10	1.02353267216167e-10
11980.335	4.32957530797066e-12	9.913568474999879e-13
17676.55	3.69157669465643e-12	9.63715078695751e-13
18005.134	4.5339740847610005e-12	7.86552295667632e-13
23427.223	3.46946863641423e-12	9.09402960411693e-13
23724.856	3.79742904416179e-12	8.60707318092828e-13
29075.485	3.5073120469708996e-12	9.1452663874498e-13
29293.606	2.9978216142149497e-12	7.94224327324001e-13
29586.391	2.2559335177538398e-12	5.93505487031996e-13
29984.98	2.26582103498631e-12	6.00895377180269e-13
30332.268	3.37750467645171e-12	6.89248880681781e-13
34920.918	2.28627092178342e-12	5.97396428405106e-13
35353.067	2.3184263715055397e-12	6.06144614573385e-13
35725.705	1.91379442672657e-12	5.03232169487514e-13
36291.033	2.3179360965107998e-12	4.89451362042144e-13
49120.786	1.96268966095247e-12	5.138579231100519e-13
52340.661	1.3871107637863098e-12	3.65680951607497e-13
52842.038	1.7441864325549598e-12	3.88331769920382e-13
59531.541	1.0479864417437999e-12	2.27034386010981e-13
64536.86	1.10755751915182e-12	2.93878769378006e-13
66536.371	1.23917038037783e-12	2.67715692912282e-13
216022.486	1.33370267178858e-13	3.4065719908815304e-14
192.472957546124	1.87489850072599e-09	2.795032463797925e-10
193.622423662522	2.0485677536245e-09	3.05382931723145e-10
194.683023958478	2.13165638146889e-09	3.17769007926372e-10
195.924705934673	1.5422280325658901e-09	2.29902065329913e-10
197.634279724764	1.13477907671994e-09	1.69163047036309e-10
199.198371753676	2.00857244500074e-09	2.785391710875365e-10
207.921	1.5987640816583802e-09	2.437608450075155e-10
209.692	1.28639343138714e-09	1.91764387255766e-10
211.532	1.5288396985579202e-09	2.330996263924995e-10
213.141	1.5138025940913102e-09	2.4159798708077954e-10
214.923	1.09183750154361e-09	1.66470590997249e-10
216.914	1.3845516968646201e-09	2.06396984646467e-10
219.193	8.80401886477696e-10	1.37320560872681e-10
221.707	1.0274777370658401e-09	1.53167490312535e-10
224.008	1.0159376109703102e-09	1.51447191594055e-10
226.303	1.04561527012793e-09	1.59423189521514e-10
228.391	9.7276819371222e-10	1.450118923423205e-10
230.982	9.11454666672326e-10	1.4887720420968901e-10
233.341	7.8532229368715e-10	1.31315183447986e-10
236.392	6.753241597573851e-10	1.07779581333627e-10
238.924	8.09954669434393e-10	1.26332594636482e-10
241.619	7.09081485538026e-10	1.1316715460157551e-10
244.702	6.34778256435465e-10	9.462722436607164e-11
247.918	5.68139412377501e-10	1.07241308009994e-10
251.13	6.76979878657839e-10	1.08043811735214e-10
254.141	6.26349170673406e-10	1.0230804793105151e-10
257.562	4.58436930023164e-10	8.441164581668149e-11
261.265	7.26280891661257e-10	1.15912095940702e-10
264.209	4.21124648577183e-10	9.825646146386359e-11
267.568	5.92261884917792e-10	1.02353267216167e-10
