time_sec	flux	flux_err
0.321000021398067	0.0003080987006056	6.14936344427635e-05
0.801000018119812	0.0004958411863303	9.18977676146055e-05
1.12100001096725	0.0005572865965096	9.24391955880597e-05
1.44100001871586	0.0004254106971761	8.85267922193147e-05
1.76100002646446	0.0006052335314522	9.56815905195137e-05
2.32100001692772	0.0003131647613765	6.30357685793502e-05
3.12100001692772	0.0003857515008686	6.39968272621319e-05
3.92100001692772	0.0003521346487963	6.58246379409257e-05
4.72100001692772	0.0003383497420434	6.55225610999193e-05
6.0010000197454	0.0002353584417639	4.45603481779127e-05
10.661000017918	0.0001286234961088	2.24348734577887e-05
83.0014760934628	1.64080539371249e-05	2.44602502015239e-06
84.4337843232454	1.93226160185823e-05	2.88044786416393e-06
85.8377046633127	2.73952292487324e-05	4.08384303638356e-06
86.8816499664461	3.81390051544772e-05	5.68543305380765e-06
88.0154842803905	3.65421538500007e-05	5.44739524061795e-06
89.3744317980943	3.95027198688565e-05	4.9378967822129e-06
98.6	2.34868320398832e-05	3.5013918645255e-06
99.793	2.00826563557017e-05	3.02057672680602e-06
101.143	2.09822275354752e-05	3.19214915473298e-06
102.437	2.27426369578544e-05	3.39042195520667e-06
103.5044	3.6698583462988e-05	5.47089788426473e-06
104.761	2.46893712040039e-05	3.68058497990423e-06
106.091	2.18239837083562e-05	3.25340418506735e-06
107.28	3.11823767924135e-05	4.84197316550284e-06
108.374	2.99253319612717e-05	4.4610734452208e-06
109.623	3.27968387467087e-05	5.09265729507598e-06
110.7046	4.92392067761636e-05	7.34024842340941e-06
111.971	2.69496470461518e-05	4.27212392075005e-06
113.65	2.5549267577929e-05	4.22369037022059e-06
115.588	1.89650938722353e-05	2.94486312834922e-06
117.642	1.90831757736401e-05	2.84477422791299e-06
119.182	3.0432999235337e-05	4.53671090649132e-06
120.701	2.48176449971779e-05	3.69961830094058e-06
122.417	2.28330096061313e-05	3.40376174088832e-06
124.014	2.95111311064029e-05	4.48949903108644e-06
126.131	2.32103240827196e-05	3.60403592905426e-06
128.117	2.08804526497012e-05	3.17651953009827e-06
130.143	1.90296423908959e-05	2.95486940190697e-06
131.803	1.89099624689359e-05	2.81893765161607e-06
133.973	1.80917599029088e-05	2.80923717080902e-06
136.621	1.21099277354845e-05	1.80524564548085e-06
139.109	1.66812587804017e-05	2.48669967746193e-06
141.252	1.78148956305824e-05	2.71015693182154e-06
144.191	1.9657487351508e-05	3.11612527113479e-06
147.151	1.81074655377576e-05	2.69930690833922e-06
150.677	1.33494153771414e-05	2.11616282226031e-06
153.601	1.27171575942112e-05	1.93464477998703e-06
156.847	1.03467749337501e-05	1.5424101242427e-06
160.607	7.85140006504414e-06	1.62388693555031e-06
164.108	1.03962051059052e-05	1.68278402251268e-06
168.29	1.09674998329427e-05	1.66847221588367e-06
172.237	7.17180555956909e-06	1.34996631690603e-06
176.026	9.5278512358015e-06	1.420330867095e-06
180.059	8.47202990100826e-06	1.31551251294857e-06
184.416	7.17645594534827e-06	1.30544011478006e-06
