time_sec	flux	flux_err
0.020999927520752	4.72155369770773e-08	7.4138261056969304e-09
0.0610000085830689	5.1508318529978e-08	7.79100876023369e-09
0.100999970436096	4.93565812480885e-08	7.88210842990158e-09
0.140999932289124	5.24083657033503e-08	8.507997888876181e-09
0.18100001335144	5.70747396917201e-08	9.080817306001712e-09
0.220999975204468	7.18654693801352e-08	1.01388828499518e-08
0.260999937057495	7.68443725457536e-08	9.982548007652062e-09
0.301000018119812	6.67948505103296e-08	9.07809320540188e-09
0.340999979972839	5.81206452922511e-08	9.32896523506867e-09
0.380999941825867	2.99406726859222e-08	8.52308517351009e-09
0.421000022888184	5.08768026361035e-08	8.51084352551593e-09
0.480999965667725	2.91454035465404e-08	5.5382276039508e-09
16.0209999752046	8.35449069384712e-09	1.4680853655372701e-09
47.0209999752046	1.52907643042405e-08	2.50397701694785e-09
58.0991264845352	5.1810006310186e-09	7.723387300186405e-10
58.8842725405954	6.655477425383751e-09	9.92140762682369e-10
59.6515593356883	4.48247274040423e-09	6.682081246092595e-10
60.314398465001	6.426231320436661e-09	9.579668161261656e-10
60.822371502491	6.80311820000616e-09	1.014149811100005e-09
61.4128130867779	5.27362977004464e-09	7.86146935327162e-10
62.0363256336764	6.441663890171391e-09	9.60267296447062e-10
62.6221679953494	6.01007123734412e-09	8.959292128458325e-10
63.2445458767208	6.18209933794456e-09	9.215736677402511e-10
63.9157311304071	5.646483637982861e-09	8.417287477004956e-10
64.7690674253993	4.585285448439071e-09	6.83534530396347e-10
65.6952351288659	6.45712028935084e-09	8.135216048811531e-10
74.2923	3.5443998757323703e-09	5.283684368788321e-10
75.0294	3.895080728065961e-09	5.80644805492951e-10
76.0335	3.89907276023522e-09	5.812399260112181e-10
76.8515	5.928310893438261e-09	8.83741064065164e-10
77.5442	4.428599481926171e-09	6.737164098617806e-10
78.2817	5.657959173002631e-09	8.43439284672382e-10
79.071	5.153237685781211e-09	7.750428421571941e-10
79.905	3.82708609159689e-09	5.94258167164245e-10
80.8461	4.484926211650671e-09	6.822853205738466e-10
81.6976	6.3781057291120905e-09	9.507927188270605e-10
82.5272	5.41937129441879e-09	8.244410597202525e-10
83.5049	5.0732197263671305e-09	7.562716082469e-10
84.4394	5.33741188639011e-09	7.956550450899005e-10
85.316	6.791734968928391e-09	1.0124529493915601e-09
86.271	3.6534385610969502e-09	5.557922426701691e-10
87.4247	5.181986403669631e-09	7.724856334004874e-10
88.374	4.1204619970556505e-09	6.142427409200075e-10
89.472	3.5327729521725e-09	5.2663521390361e-10
90.795	2.9913718327445603e-09	4.55073040809811e-10
92.143	3.10620033098487e-09	4.6304546373127403e-10
93.258	3.7663159013922e-09	5.729641329608445e-10
94.3613	5.09264856132789e-09	7.591679457314815e-10
95.3879	4.640810711373441e-09	6.918117674729315e-10
96.2832	4.542272856835861e-09	7.053101113405601e-10
97.2336	4.3891043778980705e-09	6.5428964766169e-10
98.244	3.3651693120619804e-09	5.016503400855835e-10
99.39	3.4533606899402103e-09	5.36227213474623e-10
