time_sec	flux	flux_err
87.4668660138124	2.72081479860928e-09	4.0560396487903e-10
92.2320092947318	1.99558215177479e-09	2.20375701529794e-10
104.106	2.72134614208877e-09	4.05674854047362e-10
107.188	2.98141352644404e-09	4.44443619554401e-10
111.112	1.87286184748679e-09	2.91634340260199e-10
114.683	1.42852859119743e-09	2.6081273972417e-10
119.091	1.82069926103852e-09	2.71414242830391e-10
122.68	2.4576308213041e-09	3.66362562163766e-10
125.804	2.01518139141741e-09	3.20811548664213e-10
129.907	1.60725652571274e-09	2.50275332572332e-10
134.485	1.89593368679612e-09	2.88830979656338e-10
138.417	1.42922191937554e-09	2.69594499878617e-10
142.092	1.41793267389259e-09	2.76462880571402e-10
145.907	1.53674079053145e-09	2.44645041144638e-10
150.519	1.88086705002022e-09	2.86535655003386e-10
154.482	2.05975583568747e-09	3.13788142095839e-10
158.303	1.27010821467816e-09	2.7433351822564e-10
162.654	1.71008216819843e-09	3.12217138901814e-10
165.931	1.96856068617482e-09	2.99895286625263e-10
170.358	1.53735560372379e-09	2.76117461996777e-10
174.619	1.25642007612703e-09	2.2939015144641e-10
179.188	1.14340173806285e-09	2.08755894895203e-10
183.229	1.17571000108025e-09	2.2177447543914e-10
187.516	1.13046231625806e-09	2.20412941828549e-10
192.133	1.71558386348445e-09	2.55744518671995e-10
197.731	8.48615306761287e-10	1.60074498299628e-10
202.449	1.09445317540266e-09	1.99819098562162e-10
207.131	9.51557732788067e-10	1.8553083793305e-10
211.567	1.34226128846304e-09	2.4506258545054e-10
215.964	9.50536304869075e-10	1.73543633944404e-10
232.408	8.79988746003103e-10	1.84897803760021e-10
249.228	9.52572783005336e-10	2.14566976530513e-10
268.141	7.98745437637015e-10	1.7991740465839e-10
292.546	1.03886667200857e-09	2.17723694970507e-10
317.166	9.27561158312678e-10	2.03826578221819e-10
343.522	7.5506952436484e-10	1.65922435261241e-10
371.846	6.56500885179601e-10	1.44060946131869e-10
396.788	7.64796766659568e-10	1.72270553205268e-10
424.286	4.41282914484008e-10	9.9839128163692e-11
453.044	6.15557932951895e-10	1.38450961910452e-10
477.777	8.116854927e-10	1.81498375234396e-10
503.085	6.99036860515302e-10	1.57458057356101e-10
531.782	6.05400222966597e-10	1.36166303368082e-10
558.389	4.73250695573599e-10	1.03994295256342e-10
594.353	5.17457078715124e-10	1.15876012500219e-10
623.324	5.29229511565457e-10	1.15648047719616e-10
649.026	5.97422518354219e-10	1.34175045219184e-10
678.116	5.23647112016998e-10	1.14428184133503e-10
711.184	4.59383236350005e-10	1.03934260736058e-10
754.188	2.70534376012966e-10	6.08484374077666e-11
808.061	3.53784434743046e-10	7.73095421877973e-11
857.889	4.04739117212427e-10	9.076727484908e-11
899.225	3.72048328755526e-10	8.16413972748998e-11
939.458	4.07646934511554e-10	9.18224759286375e-11
995.197	3.77943468356278e-10	8.30510517191446e-11
1041.388	3.18254041793702e-10	7.07261218860228e-11
1092.415	3.3480528602449e-10	7.55258936138512e-11
1129.911	4.04861269694119e-10	9.06620113395638e-11
1178.884	2.89604093355494e-10	6.56190340601558e-11
1239.241	1.88140428803977e-10	4.26922884256593e-11
1317.912	2.64705485784884e-10	5.98889339519153e-11
1383.52	2.24705946637813e-10	5.1065216191259e-11
1449.712	2.40330507228219e-10	5.28113409596948e-11
1542.817	2.11001713338551e-10	4.53465899099368e-11
1612.614	2.51328776608016e-10	5.19336488242176e-11
16720.197	1.39262467248409e-11	3.53260270563449e-12
16923.758	2.03591274128211e-11	4.59225142958861e-12
17146.757	1.77186767414506e-11	4.00834680785732e-12
17339.652	1.24925666376509e-11	3.28247694220474e-12
17597.103	1.40764093899648e-11	3.66629796066288e-12
17772.089	1.42937131598952e-11	3.50848205504047e-12
18836.37	1.2358524226998e-11	2.14305518353375e-12
88866.759	1.39347789258019e-12	2.6436875440438e-13
297760.225	1.02176110512076e-13	5.03575834883728e-14
0.020999927520752	9.3140100544387e-08	1.42486142880978e-08
0.0610000085830689	2.06087094396772e-07	3.08326281932198e-08
0.100999970436096	3.70288472462552e-07	5.44614403095981e-08
0.140999932289124	1.67927229858506e-07	2.99164742196536e-08
0.18100001335144	1.25037153972897e-07	1.61141189111795e-08
0.220999975204468	4.86119830318139e-08	8.73569214769216e-09
0.260999937057495	6.26250502049842e-08	7.14922425066438e-09
0.301000018119812	7.60471810258952e-08	8.54944434947645e-09
0.340999979972839	9.65861903175834e-08	1.09193310220476e-08
0.380999941825867	8.02362076704074e-08	8.98660547770726e-09
0.421000022888184	4.63233451363426e-08	5.50735489122221e-09
0.460999984741211	2.68265611710137e-08	3.05104687993729e-09
0.500999946594238	3.16293282834268e-08	3.4163332441751e-09
0.541000027656555	2.62790330063172e-08	3.45343869185099e-09
0.580999989509583	3.02432070051937e-08	3.60379482714573e-09
0.62099995136261	4.24680707115061e-08	6.25974718827374e-09
0.661000032424927	9.42489107785935e-08	1.1040675359083e-08
0.700999994277954	1.60962753683241e-07	1.96964042023446e-08
0.740999956130981	1.36433848897863e-07	1.9394285167233e-08
0.780999917984009	1.2628606125243e-07	1.88756932366311e-08
0.820999999046326	1.44419156517355e-07	1.96818807118051e-08
0.860999960899353	1.36818777275253e-07	2.3763911947498e-08
0.90099992275238	2.32861645379082e-07	2.9383642288251e-08
0.941000003814697	1.65119203883621e-07	3.02999613504079e-08
0.980999965667725	9.30651514840148e-08	2.2990230575625e-08
1.02099992752075	9.19171763762668e-08	1.95253530574202e-08
1.06100000858307	4.71862482289885e-08	1.25667963747687e-08
1.1009999704361	7.53440261733373e-08	1.19393617861526e-08
1.14099993228912	6.65559630427259e-08	1.03356254759839e-08
1.18100001335144	3.74094209274902e-08	8.9733075035289e-09
1.22099997520447	2.42233674711919e-08	7.95243976298067e-09
1.2609999370575	4.34527761186738e-08	6.99674957337391e-09
1.30100001811981	2.88674168446197e-08	6.66281003499577e-09
1.36099996089935	2.64914654339857e-08	5.4097340111748e-09
1.4410000038147	4.47208602226497e-08	9.62692121407439e-09
1.50099994659424	1.08801832638435e-07	2.08556324261983e-08
1.56100000858307	1.04290613246542e-07	2.29642913347341e-08
1.62099995136261	1.64295169287309e-07	2.94248575961406e-08
1.66100003242493	1.60721590058361e-07	3.1335467235601e-08
1.70099999427795	1.16290672394331e-07	3.02070051313135e-08
1.74099995613098	1.32547628451985e-07	2.98994575257686e-08
1.80099995851517	8.8770071084764e-08	2.17564789679595e-08
1.88099994182587	7.78099075183236e-08	1.97773102222675e-08
1.96099998474121	1.01845329184772e-07	2.18841315925927e-08
2.04099996805191	5.34210361157708e-08	1.98577744572375e-08
2.1009999704361	1.17144690663413e-07	2.91622538820786e-08
2.16099997282028	9.07660809932981e-08	2.21216171412216e-08
2.24099995613098	7.2474742379483e-08	1.9693111201678e-08
2.32099999904633	9.54034338117675e-08	2.06856165202647e-08
2.40099998235703	7.52823845227358e-08	2.16374504592369e-08
2.48099996566772	8.82803674720131e-08	2.11677713311774e-08
2.62099999904633	5.13765682052943e-08	1.31262015732174e-08
2.74099995613098	1.25593268995453e-07	2.87110889227924e-08
2.94099996407827	7.1836095123283e-08	1.66211559453996e-08
3.16099997282028	3.44993403636782e-08	1.04386585838225e-08
3.40099998235703	6.00006888232186e-08	1.36538416931717e-08
3.9609999748071	2.38491309012297e-08	5.48803779354891e-09
4.56099998871485	4.6312733145378e-08	1.07989003434881e-08
7.08099997460841	9.54781961813774e-09	2.02161337578563e-09
14.3409999750671	5.24540862588292e-09	9.78439002546354e-10
