time_sec	flux	flux_err
0.161000047326088	3.31124812078084e-07	5.89799140373795e-08
0.481000069975853	2.48050343244272e-07	3.84870498167625e-08
0.801000047922134	1.13414334612242e-07	2.4709018004351e-08
1.12100005567074	9.23479871229419e-08	1.57851466062246e-08
121.686	4.0686193621765394e-11	8.97516298933568e-12
165.766	3.7200592901934796e-11	8.41348970043963e-12
207.4	5.440579469341729e-11	1.13763691982122e-11
237.412	5.42910273803442e-11	1.2198994452956799e-11
273.822	4.2637999069495e-11	9.58059954017882e-12
315.427	3.8822215403681394e-11	8.72321084821069e-12
354.968	4.8259917862499e-11	1.0662470065595e-11
392.203	8.501952490468289e-11	1.82064824912091e-11
426.739	5.93523517598458e-11	1.3357957117624e-11
461.966	7.0868441033702e-11	1.58466569292715e-11
490.642	7.3891914433434e-11	1.6576322360019e-11
525.971	6.12592526154523e-11	1.3099007546100098e-11
565.826	5.432966402899889e-11	1.2227539757344e-11
610.187	3.8249670710154893e-11	8.60854190782463e-12
665.102	5.185213784196309e-11	1.1708031032934799e-11
705.549	5.940144809712109e-11	1.3434559860370699e-11
740.481	5.2260163081740895e-11	1.17617658397161e-11
778.142	5.2101476911112295e-11	1.1707014823830598e-11
815.476	5.44071291481475e-11	1.2205257275785499e-11
857.532	4.1547904852931494e-11	8.3636571037164e-12
4154.947	8.84994562535813e-12	2.01810444092951e-12
4271.797	1.04793793851058e-11	2.35943660695329e-12
4355.504	1.3311640328006199e-11	2.9902406504369597e-12
4460.19	8.68718174163653e-12	1.87351992437107e-12
4563.579	1.0365498644466299e-11	2.3418780653765398e-12
4679.34	9.944635394227779e-12	2.23903858230644e-12
4779.325	1.2668517152933099e-11	2.85889958432336e-12
4910.894	1.0512247198487199e-11	1.90490702531592e-12
16291.342	3.11124047582011e-12	8.20170688662616e-13
16573.298	3.77071792604432e-12	9.54943059546242e-13
16798.878	4.16534175484598e-12	1.09708912401954e-12
17095.613	2.989764209323e-12	7.25927192595865e-13
23301.416	2.54355995853761e-12	6.74139968776015e-13
23582.644	2.7956800848499897e-12	6.70032035334434e-13
35496.574	1.08597512818154e-12	2.88014165354476e-13
39456.189	9.40968871249105e-13	2.31097208107423e-13
45654.809	6.89539154390036e-13	1.41107412735732e-13
152366.24	1.7765432489753899e-13	4.49814120047164e-14
