READ TERR 1 2
! xrtwtslewflux
87.4668660138124	1.41510691195361	-1.22346807947859	2.72081479860928e-09	4.0560396487903e-10	-4.0560888299628e-10
92.2320092947318	3.16597163368925	-3.35003636896575	1.99558215177479e-09	2.20375701529794e-10	-2.20375927879591e-10
NO NO NO NO NO NO
! xrtwtflux
104.106	1.683	-1.907	2.72134614208877e-09	4.05674854047362e-10	-4.05675053201532e-10
107.188	1.629	-1.399	2.98141352644404e-09	4.44443619554401e-10	-4.44443803575234e-10
111.112	1.950	-2.295	1.87286184748679e-09	2.91634340260199e-10	-2.91634507203358e-10
114.683	2.085	-1.621	1.42852859119743e-09	2.6081273972417e-10	-2.6081273972417e-10
119.091	1.976	-2.322	1.82069926103852e-09	2.71414242830391e-10	-2.71414397786289e-10
122.680	1.515	-1.613	2.4576308213041e-09	3.66362562163766e-10	-3.66362562163766e-10
125.804	1.906	-1.609	2.01518139141741e-09	3.20811548664213e-10	-3.20811700431399e-10
129.907	2.320	-2.197	1.60725652571274e-09	2.50275332572332e-10	-2.50275485551429e-10
134.485	1.903	-2.258	1.89593368679612e-09	2.88830979656338e-10	-2.88831143208308e-10
138.417	1.658	-2.029	1.42922191937554e-09	2.69594499878617e-10	-2.69594499878617e-10
142.092	1.461	-2.018	1.41793267389259e-09	2.76462880571402e-10	-2.76462880571402e-10
145.907	2.356	-2.354	1.53674079053145e-09	2.44645041144638e-10	-2.44645041144638e-10
150.519	1.962	-2.256	1.88086705002022e-09	2.86535655003386e-10	-2.86535819422028e-10
154.482	2.021	-2.001	2.05975583568747e-09	3.13788142095839e-10	-3.13788142095839e-10
158.303	2.237	-1.799	1.27010821467816e-09	2.7433351822564e-10	-2.7433351822564e-10
162.654	1.350	-2.114	1.71008216819843e-09	3.12217138901814e-10	-3.12217314985194e-10
165.931	2.429	-1.927	1.96856068617482e-09	2.99895286625263e-10	-2.99895286625263e-10
170.358	1.777	-1.998	1.53735560372379e-09	2.76117461996777e-10	-2.76117633835686e-10
174.619	1.920	-2.484	1.25642007612703e-09	2.2939015144641e-10	-2.2939015144641e-10
179.188	2.038	-2.65	1.14340173806285e-09	2.08755894895203e-10	-2.08755894895203e-10
183.229	2.325	-2.002	1.17571000108025e-09	2.2177447543914e-10	-2.2177447543914e-10
187.516	2.346	-1.963	1.13046231625806e-09	2.20412941828549e-10	-2.20413098319372e-10
192.133	2.207	-2.271	1.71558386348445e-09	2.55744518671995e-10	-2.55744675369074e-10
197.731	2.452	-3.391	8.48615306761287e-10	1.60074498299628e-10	-1.60074498299628e-10
202.449	2.278	-2.266	1.09445317540266e-09	1.99819098562162e-10	-1.99819098562162e-10
207.131	2.471	-2.404	9.51557732788067e-10	1.8553083793305e-10	-1.85530986938125e-10
211.567	1.678	-1.966	1.34226128846304e-09	2.4506258545054e-10	-2.4506258545054e-10
215.964	2.426	-2.719	9.50536304869075e-10	1.73543633944404e-10	-1.73543633944404e-10
NO NO NO NO NO NO
! xrtpcflux_incbad
232.408	8.840	-11.218	8.79988746003103e-10	1.84897803760021e-10	-1.84897803760021e-10
249.228	9.572	-7.979	9.52572783005336e-10	2.14566976530513e-10	-2.14566976530513e-10
268.141	13.225	-9.341	7.98745437637015e-10	1.7991740465839e-10	-1.7991740465839e-10
292.546	11.386	-11.18	1.03886667200857e-09	2.17723694970507e-10	-2.17723694970507e-10
317.166	11.839	-13.235	9.27561158312678e-10	2.03826578221819e-10	-2.03826578221819e-10
343.522	13.064	-14.517	7.5506952436484e-10	1.65922435261241e-10	-1.65922435261241e-10
371.846	12.320	-15.261	6.56500885179601e-10	1.44060946131869e-10	-1.44060946131869e-10
396.788	7.437	-12.622	7.64796766659568e-10	1.72270553205268e-10	-1.72270553205268e-10
424.286	15.042	-20.061	4.41282914484008e-10	9.9839128163692e-11	-9.9839128163692e-11
453.044	13.864	-13.717	6.15557932951895e-10	1.38450961910452e-10	-1.38450961910452e-10
477.777	11.697	-10.869	8.116854927e-10	1.81498375234396e-10	-1.81498375234396e-10
503.085	11.462	-13.611	6.99036860515302e-10	1.57458057356101e-10	-1.57458057356101e-10
531.782	10.346	-17.235	6.05400222966597e-10	1.36166303368082e-10	-1.36166303368082e-10
558.389	18.842	-16.261	4.73250695573599e-10	1.03994295256342e-10	-1.03994295256342e-10
594.353	12.966	-17.122	5.17457078715124e-10	1.15876012500219e-10	-1.15876012500219e-10
623.324	14.082	-16.006	5.29229511565457e-10	1.15648047719616e-10	-1.15648047719616e-10
649.026	13.454	-11.62	5.97422518354219e-10	1.34175045219184e-10	-1.34175045219184e-10
678.116	14.451	-15.637	5.23647112016998e-10	1.14428184133503e-10	-1.14428184133503e-10
711.184	13.979	-18.616	4.59383236350005e-10	1.03934260736058e-10	-1.03934260736058e-10
754.188	28.644	-29.025	2.70534376012966e-10	6.08484374077666e-11	-6.08484374077666e-11
808.061	22.410	-25.229	3.53784434743046e-10	7.73095421877973e-11	-7.73095421877973e-11
857.889	15.206	-27.418	4.04739117212427e-10	9.076727484908e-11	-9.076727484908e-11
899.225	24.016	-26.13	3.72048328755526e-10	8.16413972748998e-11	-8.16413972748998e-11
939.458	28.916	-16.216	4.07646934511554e-10	9.18224759286375e-11	-9.18224759286375e-11
995.197	20.815	-26.824	3.77943468356278e-10	8.30510517191446e-11	-8.30510517191446e-11
1041.388	27.279	-25.375	3.18254041793702e-10	7.07261218860228e-11	-7.07261218860228e-11
1092.415	21.383	-23.749	3.3480528602449e-10	7.55258936138512e-11	-7.55258936138512e-11
